"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SRR1554534","SRR1554535","SRR1554568","SRR1554561","SRR1554567","SRR1554536","SRR1554541","SRR1554539","SRR1554538","SRR1554537"
"ABHD11",1131.50623427624,-1.87279357811649,0.240021185731394,-7.80261780813098,6.06359783877247e-15,4.9919747702482e-14,10.6604978775398,10.4312839759817,9.16178442462769,10.4752633318288,9.23855426617568,11.162296813659,9.10013983025068,10.1700578688267,8.96752929754722,9.00773946463095
"ABHD12",9971.88120437569,-2.18404504326015,0.178706885534593,-12.2213816033259,2.38988212821039e-34,9.82711903836726e-33,14.0273387048437,13.9222807361808,11.7376414350362,13.8487284922799,12.0538587828982,13.6256371337168,12.2145573678933,13.7218990846777,11.7148893619289,12.1319745900195
"ABHD12B",332.92095589924,-6.47728643024732,0.649393380466806,-9.97436473034454,1.97360345544367e-23,3.42852618254097e-22,8.70141377564698,8.93373566412216,3.26435389522715,8.64297184507359,4.51657203624478,7.03643931596758,4.10623209431437,9.22259550276402,4.63637709074778,3.8849353371662
"ABHD14A",2776.47775054106,-1.54282447626161,0.20121242162548,-7.66764031662664,1.75189329024356e-14,1.37213891390353e-13,11.986268004545,11.8410701153239,10.2703347868409,11.9687093148114,10.446781996169,11.9426253918592,10.8297241508142,11.6830034386435,10.3809997365513,10.9286351518056
"ABHD14B",1212.17432920807,-1.50141425273148,0.324179608935418,-4.63142718217849,3.63153721619097e-06,1.06399842523268e-05,10.5727231285941,10.3694187203499,9.561827594653,10.3275106060427,9.57756805469914,11.4576660609124,9.39193373845437,10.0741225327495,9.10658201004569,9.47377303706787
"ABHD15",383.308737557464,-1.92459706493741,0.343583842656558,-5.60153542162112,2.12461359088362e-08,8.30770124649765e-08,9.0563136176409,9.14389805624267,7.88217084902092,8.69246297429508,7.49257524846884,9.47218234183541,6.91548943869051,8.37675383775225,7.64428052479676,7.66033260473754
"ABHD16B",568.611955497658,-1.49467425474838,0.326380058522269,-4.57955140248373,4.65974263726065e-06,1.34712567155361e-05,9.86149023291372,9.39001696125162,8.78333227028841,9.80006045998677,8.56033499176419,9.30687439934549,7.56783847456284,9.21842043503662,8.17826639207825,8.46434276544218
"ABHD17A",2556.78147826785,-2.36509727993309,0.234790480118615,-10.0732247693274,7.25592217323536e-24,1.30598152177406e-22,12.0580161147129,11.5503772246277,9.92793864090913,12.2776492182198,9.90039644540781,11.9367457894502,9.84228651754861,11.3323011123759,9.73086410249674,10.0872384726178
"ABHD18",999.361713067199,1.42307769411086,0.172442764347832,8.25246393777583,1.55161727371339e-16,1.4909605139144e-15,9.23320754592037,9.31738691957237,10.5210797112216,9.00309478828348,10.2670650097532,9.00701217121443,10.2622425782422,9.47936386351188,10.4392178753478,10.3805791216287
"ABHD8",9947.49923726603,-2.31460911818937,0.2292705375239,-10.0955366667995,5.78139679330222e-24,1.0491335190287e-22,14.0983177392668,13.556945830351,11.857024698513,14.2800026189427,11.7873341708941,13.5623814913456,12.0207573719405,13.519755687636,11.6555180276105,12.0588893402864
