"","SRR1554534","SRR1554535","SRR1554568","SRR1554561","SRR1554567","SRR1554536","SRR1554541","SRR1554539","SRR1554538","SRR1554537"
"A1BG",9.14363256818826,8.58322656970293,8.10589126824234,9.20677332838682,6.9955981494337,8.76286368000641,8.37366532386899,8.42951356806069,7.63287264865995,8.48993808348848
"ADA",8.6463852403988,9.14597391171811,7.30399378650693,8.00191202512657,7.35162693386558,9.77011462854449,7.84383902255967,8.25386166673779,7.83159599050772,7.1971643280106
"CDH2",13.5624679633182,13.5859064759935,14.9578457639168,13.6524178444332,14.8298262939317,13.8120750555157,14.5452825937295,13.7170790171178,14.7087529248896,15.0513363583453
"AKT3",13.4794313475072,13.1592733850956,15.8760522521674,13.925121498119,14.376620746949,12.3320182283935,15.2048477621529,14.3835204372367,14.7494807174523,15.5848585926306
"ZBTB11-AS1",7.74612879010952,7.53921703004518,7.48918149135711,7.32398781612774,7.70654821559138,7.73173361359086,7.68494404474029,7.65416566181439,7.62588694380278,7.70536317470469
"MED6",10.9657596243638,10.9534065901041,11.06297070326,10.8251760726085,11.1613631870042,10.6899134470428,11.2295729521,11.0950947852756,11.2709151674276,11.0874310885305
"NAALAD2",10.3675717893193,10.6446612461932,9.09147777253353,10.4064955302401,10.6595952616058,10.2991727379879,10.1466439721679,11.016578574193,10.1108633266804,9.06668845029772
"DDTL",7.32823131029552,7.69108490694848,7.18617763907469,7.30598997151787,7.54506162463002,7.96471804310698,7.11748920799165,7.33275727935209,7.83707432442687,7.28807520271482
"NAALADL1",6.96369159352038,6.88552089675035,6.56770842408066,6.68925151803963,7.16744303947606,8.18595734858757,6.71618727978556,6.73344570486335,7.12165175948581,6.9278730074917
"NINJ2-AS1",8.82254350469324,9.17972073330016,8.09964535136788,8.34029725175369,8.2265442884721,9.99975694209869,8.37225837448471,8.66792900858554,7.76185781726725,7.92298131101888
"ACOT8",11.9460377130482,11.7579417451271,10.652183915778,12.0140953619796,10.4702906060443,11.2506329544754,10.5221665918269,11.4614511617943,10.601639184267,10.700494733571
"ABI1",13.3664906782813,13.7586796368836,12.8336927843951,13.4647968360512,13.0580666883714,13.886565676186,13.0801765184274,13.6202629061799,13.0451436043322,12.9231722178457
"GNPDA1",12.0714429250753,12.4306283807019,12.0452046076621,12.3254385422192,11.7990999341641,12.1130071452875,11.6092642229338,12.1460741711406,12.0104433872386,11.9526179107038
"MIMT1",8.18579161154873,6.48585973393515,8.52500450534816,6.56298854093701,8.03597244207785,7.92832476370753,7.92467767940074,8.51042041745076,7.3541560972603,7.24028564851119
"KCNE3",7.29965137733423,7.17416539817243,7.40137841758871,7.23667541268466,7.52279197171775,8.36266888977483,6.98381005968477,7.91484329637732,7.63900124900138,7.38069156671066
"ZBTB33",11.7243096602856,12.1372700577492,13.056752515871,11.8588189008198,12.9751941510684,11.7595412534738,12.988798120953,12.4101413341822,13.263124198301,13.2121357527452
"SNHG8",11.0409491042709,11.1564623126219,10.8963568086933,10.7464182910618,10.9146584667268,12.0848511241007,11.0953620479388,11.0555374232959,10.8287354566904,11.4671828178344
"GTF2IP4",9.33261125168547,9.10885704777492,9.65245614868843,8.52462294062063,9.62631416153035,9.48666542893985,9.02449722560351,8.96692115851991,9.61501259494158,9.16594495401306
"CDH3",10.056516884928,8.77751633129697,9.94855321233575,9.8831971251246,10.2141798482206,9.34466895478426,10.5244824021388,9.21147546604911,10.2478674792859,11.125986517808
"TANK",11.0435644822798,11.5739958126186,12.2370462826449,10.9498733016556,11.847382957192,11.6260866617324,11.599479393231,11.3691495746563,11.7072810067552,11.5934633897927
"HAVCR1P1",6.30603373185749,5.65982019957217,6.91258574806531,6.03000907486043,7.25272711903595,7.16681537833103,6.77455964703953,6.26543681644278,7.07659447145263,6.87832021200065
"POM121C",12.1313835933171,11.7136537263417,12.0781914845679,12.4256451434321,11.7476219834399,11.2765012583417,11.7944126024089,11.9724559944141,11.8848921391849,11.9880769053705
"ZSCAN30",11.1870600041309,11.5832134097841,12.6125422157791,11.0406629322916,12.3837693922913,11.6994034331532,12.1829152929663,11.4624767346722,12.5863438521502,12.2770681192397
"MCTS2P",8.42848689256937,8.64638563646362,9.49183247867166,8.53970986350697,9.57180343340741,8.49441983119806,9.67792592789206,8.65446710582575,9.5225703898856,9.3049765960866
"SRA1",11.7745776676609,11.6964436375873,12.0623376203858,11.6783051924012,11.8349744254591,12.000775523032,11.6983411441274,11.2881500676137,11.8284032061366,11.982555283518
"UCKL1-AS1",5.94299291171079,6.46638426597753,7.42049921746191,7.6189271472307,7.27062288649253,6.13454627403863,7.92169856384187,6.36158020034822,8.56342538822179,7.9689953481779
"TMEM170B",12.4475068942157,13.535621219039,13.5770831816013,12.7407384298779,13.5584880316654,13.5802147445618,14.0898330254297,13.9625094001536,13.6977792348074,13.7300485246955
"SNORD58C",5.99028030703681,6.26407582390717,6.72646970815394,5.80670757545456,6.69827125701765,5.4599520387264,6.25200320596604,5.59312768733064,6.51335500574711,6.52295291618895
"ZGLP1",9.81316310705135,9.80273153862897,10.1672701265467,10.2604334738004,10.1775430334504,10.2446013135577,10.2802038683343,9.19596460625326,10.3658454124321,10.6799018628232
"FAM86JP",8.15696407829139,7.66071687744199,6.40982004489594,8.05793969846904,6.81244256365351,7.57699528106045,7.06027484733698,8.16651971857189,6.80407224168114,6.51688302654266
"LOC100126784",11.5469326809073,11.0874682237287,9.17103186456114,11.4146494484585,9.74797557115003,9.96062034502922,10.0108087631255,11.3454742464064,9.78612755861637,10.0639387860595
"C8orf88",5.31031793483364,6.39425032504941,7.55396116748017,5.84402234056081,7.02112190566275,7.82317896747002,6.70562352692705,6.32056444834131,7.20269767123644,7.28976125570323
"PLCE1-AS1",5.01292181069968,5.0495593493262,6.7911636411573,4.58171795842501,6.23839462155486,6.1266814809599,4.99975006248139,4.97093444193888,7.02710361621756,6.7260853955624
"FAM229A",8.19867541913587,7.81023313693854,7.50004917143305,8.19956480934609,7.47832962997479,9.24790710402429,7.06338810757547,7.18768784080845,7.43995868515154,7.7889480208732
"JAZF1-AS1",8.2750693759373,8.78606519801097,4.92574593570785,8.08338206885432,5.42309233597833,7.29158307685536,5.21251964759394,8.59432965328431,6.13930317912734,5.69232839074642
"LOC100128164",7.41188980130694,6.88867305150266,6.79089063971976,7.35490865680434,6.93228989379915,7.58301012819168,7.06978411158224,6.97331395219959,6.95460066269765,6.90913196786751
"TMPO-AS1",6.36468902067498,6.58509508957241,8.33942167692558,6.40109065580774,7.88349399568076,6.52435539669387,6.5446684737153,5.91510259361247,7.5838942728442,7.56713334648403
"LINC02731",9.26224810453923,9.55446660658199,7.6918742321217,9.73472623649096,7.49423876553432,9.30940150595202,7.24369329798047,9.75465938854136,7.46486868469934,7.72217366997119
"ZNF667-AS1",11.9965169324096,12.1071834383411,12.0019344965052,11.7368732245471,11.9089423989481,12.1004516866911,11.953165758438,12.0389692130011,11.8874284606535,11.7041018286405
"LOC100128253",8.50869193550782,7.52025247317223,5.39232354011657,8.9101490179971,5.7024065169527,6.23636677540998,5.76972054096856,7.91159111730324,4.78160257697941,4.79603894547929
"HTR5A-AS1",10.316235196063,10.547150867627,4.37336246090155,10.5775832819932,6.34385773607615,7.73645035056143,5.8324258063948,11.1319620679576,4.6687629769878,4.96266711716539
"DNM1P35",9.36598974792979,8.83511038408235,8.52245771222137,8.87435716243428,9.49311837192059,8.63043154464033,9.31674070692342,8.90189673513177,9.09783037527026,8.82954944405676
"LOC100128288",8.95722796775162,9.56871607210567,11.6330729877274,8.9024368613985,11.4987457612181,9.79124214511693,11.2608785312339,8.65216346514493,11.7015522320939,11.6443805174394
"DLG5-AS1",8.14267519831136,7.7451164408953,8.46804928015064,7.78621158590352,8.25866087253637,8.04067278582123,8.20926325518636,8.26295813046869,8.12294479557119,8.62946045044373
"LOC100128361",8.16897272186189,7.32149439964059,9.04667122814614,8.36869355992439,8.33937447797848,7.93144269901097,8.69635735217183,8.03348023882406,8.93361156147869,8.96353744247926
"LOC100128398",10.390183985873,10.0955262304928,11.7230424589273,10.6287902211896,11.6930371964815,10.3585997784565,11.6979642106629,10.2276145468001,11.7846280779366,11.3031833966074
"C19orf71",9.91517622905896,9.06960997155402,9.77282465019163,9.68013592186337,9.45687743664219,8.82679632585302,9.45560908884175,8.93227824584903,9.58298536222765,9.99153791604659
"NDUFB9P2",7.78154620023627,7.49991463441777,5.57881995846101,7.20538807692015,5.6133911087762,7.31032977157747,6.14434773860026,7.14683768864756,5.63447463811054,5.74585569437769
"ACVR2B-AS1",6.89127656281256,7.13911447756945,8.94178452533024,7.78292962349795,8.54109728895944,7.32537313412652,7.86123527323236,7.20576996561169,8.60873955772394,8.8584269504907
"LOC100128653",7.76449281747889,7.0697880049729,7.83291935010366,8.45047556510578,7.19246450141884,7.72841711078729,7.16678729963549,7.68823977830061,7.30835379365727,7.31506972839142
"HPN-AS1",7.86568756937392,8.01490568271064,3.30770934496562,6.87543933535563,3.60012539061362,6.80630755948131,4.13107505868405,7.23547231764223,3.52389494630094,3.27804384348403
"OST4",11.338303536691,11.4438513409356,11.6270885010668,10.9863911169842,11.7459916109861,12.9348084193327,11.8438601346145,11.1296859370163,11.8540140734553,11.8589495579558
"LINC00476",10.622793163762,10.7097871738168,11.0491480572518,11.0595916923438,10.5979024521259,11.0936657658644,10.9304546333298,10.7519245930766,10.1575151050689,10.5057350092009
"LINC01003",9.83911953111869,10.1102962803165,10.727688635574,10.0684916980444,10.4843282577723,10.4480975314807,10.7744684822975,9.73367940503604,9.88035570407459,10.0056238966045
"VPS9D1-AS1",8.92334209796661,8.43210366248861,8.8685367507085,9.20381969533979,8.93205703579243,7.69633705411677,8.34763697157821,8.31549548979007,9.26566056209964,9.13537359385321
"FAM66B",8.02693592535697,6.44279389968726,7.61716299686721,8.25620648624984,6.55390241963825,6.73531415921004,7.02814226166925,7.08808190086188,7.22341783311321,6.82321795150737
"ZBTB42",7.66867910999872,6.71209377953136,8.10054780292319,7.22082773424097,7.73318718592394,8.14101215740824,6.44864354528004,6.53217731115159,7.77489792301079,7.04739322533889
"LINC01310",8.42328238373057,7.87028130057312,6.43636021730445,7.63543725894283,7.03661049588109,7.33430082698645,6.16451133367798,8.02952711828041,6.89930212076605,6.61868753116538
"LOC100129034",13.0729491438253,12.6583965796607,13.1904396386138,12.8563713048005,12.7348371108049,14.0207846043437,12.6378066371521,12.3544772219472,13.0694211921414,13.5803153452299
"SEMA3F-AS1",8.52056020781582,8.43453228932465,9.59232120108282,8.38381541718714,9.29330091401235,8.21388707940935,8.85524584347101,8.25849290570219,9.31819863934999,9.1752302848984
"SELENOKP1",7.38131894377536,7.29450571243573,6.33402740917428,6.86762863696359,6.33883804957471,7.95150623481954,6.60718926086923,6.67180753052798,7.02444018762417,6.14023217923403
"LOC100129118",7.77108929713315,7.47549673435328,7.69184954203356,7.6314618372014,7.45185895731879,7.8111245531312,8.00906616965131,7.66721289876058,7.82234296609244,7.63402124997461
"ZSCAN16-AS1",8.74454162529568,9.31731987943773,9.53817971470504,8.89827574349772,9.54490098800073,10.5661162039936,9.14875410397642,8.90544714963697,9.28445454888042,9.17247691590178
"LOC100129203",6.31001341468063,7.45510813466195,5.95961943845219,6.23334449986309,6.6511392012387,8.38951262212678,5.77461676349167,7.51965374962916,6.14247669191734,6.19483241340633
"LOC100129215",7.84165076787244,7.51880328002131,8.12691353400272,8.07370234476998,8.4131529830816,7.83889214111726,8.15268331375685,7.57639823835029,8.35511381382431,8.32850193374357
"THCAT155",10.0108852524514,9.86968858367544,10.0951092655186,10.1104462633286,10.2628448766754,9.00958148874402,10.8906607439931,10.4183662895579,10.0688784481979,10.5891300534708
"SMIM27",7.1696821326821,7.81458137524212,6.76592701671949,6.99085675464195,7.08305398021461,9.12525640675848,6.95192056361754,7.69836336514229,6.55133698150203,6.46554662176559
"GABPB1-AS1",9.94203635261295,9.95817011447861,12.5026823729943,9.63888189019437,11.9847264861373,9.65401835186015,12.220624399204,10.2645173078255,12.2607514156565,12.4642016520178
"MSTO2P",8.30871630097035,7.92994310867474,8.99388124283744,8.13642830622,8.7769109869629,7.32674605378826,8.69790459533686,7.8945127519392,8.84745304389231,8.79930503206501
"RPL19P12",8.49950289464175,8.69926772543901,9.20844729286415,8.29145726154279,9.11269453960159,9.7086400020035,9.32551996159537,8.45133626037446,9.58601364135773,9.60149409459354
"LOC100129434",7.30517043402764,7.1096804592485,6.15951681376549,7.7620087683892,6.52536875360005,6.6394364172587,7.09779548425374,7.88431869401389,6.52029337966752,7.1028488269396
"ZNF37BP",12.7856171490483,12.8246717413848,13.6789644739029,12.9803841504004,13.5978234966042,13.1763907396957,13.4857382339,13.3566563210101,13.5122081875923,13.3386021729381
